#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACVRL1	BMP7	9606.ENSP00000373574	9606.ENSP00000379204	0	0	0	0	0.049	0.167	0	0.485	0.556
ANLN	CENPW	9606.ENSP00000265748	9606.ENSP00000357308	0	0	0	0	0.399	0	0	0.144	0.464
ANLN	SKA1	9606.ENSP00000265748	9606.ENSP00000285116	0	0	0	0	0.281	0	0	0.288	0.466
ANLN	TK1	9606.ENSP00000265748	9606.ENSP00000468425	0	0	0	0	0.328	0	0	0.247	0.472
ANLN	E2F7	9606.ENSP00000265748	9606.ENSP00000323246	0	0	0	0	0.283	0	0	0.293	0.472
ANLN	CKS1B	9606.ENSP00000265748	9606.ENSP00000311083	0	0	0	0	0.236	0	0	0.340	0.474
ANLN	KNL1	9606.ENSP00000265748	9606.ENSP00000335463	0	0	0	0	0.377	0	0	0.200	0.481
ANLN	GTSE1	9606.ENSP00000265748	9606.ENSP00000415430	0	0	0	0	0.271	0.163	0	0.218	0.481
ANLN	ZWINT	9606.ENSP00000265748	9606.ENSP00000363055	0	0	0	0	0.340	0	0	0.260	0.490
ANLN	CDC45	9606.ENSP00000265748	9606.ENSP00000405726	0	0	0	0	0.403	0	0	0.230	0.521
ANLN	HELLS	9606.ENSP00000265748	9606.ENSP00000377601	0	0	0	0	0.297	0	0	0.353	0.526
ANLN	CDT1	9606.ENSP00000265748	9606.ENSP00000301019	0	0	0	0	0.440	0	0	0.191	0.527
ANLN	CDC25C	9606.ENSP00000265748	9606.ENSP00000321656	0	0	0	0	0.439	0	0	0.196	0.530
ANLN	FOXM1	9606.ENSP00000265748	9606.ENSP00000342307	0	0	0	0	0.369	0	0	0.295	0.536
ANLN	RAD54L	9606.ENSP00000265748	9606.ENSP00000361043	0	0	0	0	0.353	0	0	0.319	0.541
ANLN	NCAPG2	9606.ENSP00000265748	9606.ENSP00000387007	0	0	0	0	0.455	0	0	0.203	0.547
ANLN	ATAD2	9606.ENSP00000265748	9606.ENSP00000287394	0	0	0	0	0.354	0	0	0.329	0.548
ANLN	RFC4	9606.ENSP00000265748	9606.ENSP00000376272	0	0	0	0	0.291	0.292	0	0.190	0.558
ANLN	KNTC1	9606.ENSP00000265748	9606.ENSP00000328236	0	0	0	0	0.486	0	0	0.205	0.574
ANLN	PTTG1	9606.ENSP00000265748	9606.ENSP00000377536	0	0	0	0	0.330	0	0	0.398	0.579
ANLN	ZWILCH	9606.ENSP00000265748	9606.ENSP00000311429	0	0	0	0	0.348	0.241	0	0.245	0.594
ANLN	SKA3	9606.ENSP00000265748	9606.ENSP00000319417	0	0	0	0	0.450	0	0	0.311	0.604
ANLN	PLK4	9606.ENSP00000265748	9606.ENSP00000270861	0	0	0	0	0.386	0	0	0.402	0.617
ANLN	ARHGAP11A	9606.ENSP00000265748	9606.ENSP00000355090	0	0	0	0	0.380	0.198	0	0.300	0.621
ANLN	CCNB2	9606.ENSP00000265748	9606.ENSP00000288207	0	0	0	0	0.415	0	0	0.398	0.633
ANLN	CHEK1	9606.ENSP00000265748	9606.ENSP00000391090	0	0	0	0	0.322	0	0	0.481	0.633
ANLN	CENPA	9606.ENSP00000265748	9606.ENSP00000336868	0	0	0	0	0.493	0	0	0.333	0.647
ANLN	CDCA3	9606.ENSP00000265748	9606.ENSP00000442068	0	0	0	0	0.490	0	0	0.341	0.649
ANLN	UBE2T	9606.ENSP00000265748	9606.ENSP00000494957	0	0	0	0	0.430	0	0	0.416	0.653
ANLN	KIFC1	9606.ENSP00000265748	9606.ENSP00000393963	0	0	0	0	0.532	0	0	0.326	0.671
ANLN	CDCA5	9606.ENSP00000265748	9606.ENSP00000275517	0	0	0	0	0.518	0	0	0.348	0.672
ANLN	HJURP	9606.ENSP00000265748	9606.ENSP00000414109	0	0	0	0	0.543	0	0	0.322	0.677
ANLN	MAD2L1	9606.ENSP00000265748	9606.ENSP00000296509	0	0	0	0	0.495	0	0	0.397	0.682
ANLN	SPAG5	9606.ENSP00000265748	9606.ENSP00000323300	0	0	0	0	0.437	0.292	0	0.302	0.697
ANLN	CDC20	9606.ENSP00000265748	9606.ENSP00000361540	0	0	0	0	0.472	0	0	0.456	0.701
ANLN	PLK1	9606.ENSP00000265748	9606.ENSP00000300093	0	0	0	0	0.392	0	0	0.531	0.703
ANLN	TTK	9606.ENSP00000265748	9606.ENSP00000358813	0	0	0	0	0.546	0	0	0.374	0.704
ANLN	NUSAP1	9606.ENSP00000265748	9606.ENSP00000499238	0	0	0	0	0.523	0	0	0.421	0.712
ANLN	KPNA2	9606.ENSP00000265748	9606.ENSP00000438483	0	0	0	0	0.317	0.317	0	0.436	0.714
ANLN	CCNA2	9606.ENSP00000265748	9606.ENSP00000481380	0	0	0	0	0.614	0	0	0.370	0.747
ANLN	EXO1	9606.ENSP00000265748	9606.ENSP00000355506	0	0	0	0	0.487	0	0	0.541	0.754
ANLN	UBE2C	9606.ENSP00000265748	9606.ENSP00000348838	0	0	0	0	0.476	0	0	0.584	0.773
ANLN	BIRC5	9606.ENSP00000265748	9606.ENSP00000301633	0	0	0	0	0.399	0.292	0	0.527	0.781
ANLN	KIF4A	9606.ENSP00000265748	9606.ENSP00000363524	0	0	0	0	0.565	0	0	0.520	0.782
ANLN	NEK2	9606.ENSP00000265748	9606.ENSP00000355966	0	0	0	0	0.484	0.292	0	0.463	0.787
ANLN	CDCA8	9606.ENSP00000265748	9606.ENSP00000362146	0	0	0	0	0.479	0.292	0	0.475	0.789
ANLN	IQGAP3	9606.ENSP00000265748	9606.ENSP00000354451	0	0	0	0	0.244	0.486	0.400	0.225	0.795
ANLN	BUB1B	9606.ENSP00000265748	9606.ENSP00000287598	0	0	0	0	0.693	0	0	0.376	0.800
ANLN	CDK1	9606.ENSP00000265748	9606.ENSP00000378699	0	0	0	0	0.643	0	0	0.506	0.816
ANLN	KIF2C	9606.ENSP00000265748	9606.ENSP00000361298	0	0	0	0	0.532	0	0	0.633	0.821
ANLN	KIF14	9606.ENSP00000265748	9606.ENSP00000356319	0	0	0	0	0.550	0.292	0	0.503	0.828
ANLN	MELK	9606.ENSP00000265748	9606.ENSP00000298048	0	0	0	0	0.587	0	0	0.608	0.831
ANLN	CKAP2L	9606.ENSP00000265748	9606.ENSP00000305204	0	0	0	0	0.759	0	0	0.355	0.837
ANLN	PRC1	9606.ENSP00000265748	9606.ENSP00000377793	0	0	0	0	0.724	0	0	0.442	0.839
ANLN	CENPF	9606.ENSP00000265748	9606.ENSP00000355922	0	0	0	0	0.578	0.292	0	0.515	0.842
ANLN	AURKB	9606.ENSP00000265748	9606.ENSP00000313950	0	0	0	0	0.450	0.292	0	0.636	0.846
ANLN	TOP2A	9606.ENSP00000265748	9606.ENSP00000411532	0	0	0	0	0.613	0.292	0	0.533	0.861
ANLN	NUF2	9606.ENSP00000265748	9606.ENSP00000271452	0	0	0	0	0.809	0	0	0.482	0.897
ANLN	ASPM	9606.ENSP00000265748	9606.ENSP00000356379	0	0	0	0	0.750	0.292	0	0.480	0.900
ANLN	BUB1	9606.ENSP00000265748	9606.ENSP00000302530	0	0	0	0	0.791	0	0	0.619	0.917
ANLN	TPX2	9606.ENSP00000265748	9606.ENSP00000300403	0	0	0	0	0.774	0	0	0.673	0.923
ANLN	CEP55	9606.ENSP00000265748	9606.ENSP00000360540	0	0	0	0	0.778	0.292	0	0.592	0.930
ANLN	ECT2	9606.ENSP00000265748	9606.ENSP00000376457	0	0	0	0	0.444	0.292	0	0.987	0.994
ANLN	RACGAP1	9606.ENSP00000265748	9606.ENSP00000404190	0	0	0	0	0.607	0.416	0	0.990	0.997
ARHGAP11A	NCAPH	9606.ENSP00000355090	9606.ENSP00000240423	0	0	0	0	0.405	0	0	0.263	0.543
ARHGAP11A	NCAPG	9606.ENSP00000355090	9606.ENSP00000251496	0	0	0	0	0.512	0	0	0.220	0.603
ARHGAP11A	CCNB1	9606.ENSP00000355090	9606.ENSP00000256442	0	0	0	0	0.510	0	0	0.183	0.582
ARHGAP11A	TROAP	9606.ENSP00000355090	9606.ENSP00000257909	0	0	0	0	0.467	0	0	0	0.467
ARHGAP11A	ESPL1	9606.ENSP00000355090	9606.ENSP00000257934	0	0	0	0	0.593	0	0	0.195	0.658
ARHGAP11A	KIF23	9606.ENSP00000355090	9606.ENSP00000260363	0	0	0	0	0.537	0	0	0.224	0.625
ARHGAP11A	KIF11	9606.ENSP00000355090	9606.ENSP00000260731	0	0	0	0	0.770	0	0	0.253	0.821
ARHGAP11A	NDC80	9606.ENSP00000355090	9606.ENSP00000261597	0	0	0	0	0.672	0	0	0.064	0.680
ARHGAP11A	DEPDC1B	9606.ENSP00000355090	9606.ENSP00000265036	0	0	0	0	0.439	0	0	0.360	0.626
ARHGAP11A	CENPE	9606.ENSP00000355090	9606.ENSP00000265148	0	0	0	0	0.677	0.093	0	0.150	0.729
ARHGAP11A	TICRR	9606.ENSP00000355090	9606.ENSP00000268138	0	0	0	0	0.447	0	0	0.100	0.481
ARHGAP11A	PLK4	9606.ENSP00000355090	9606.ENSP00000270861	0	0	0	0	0.406	0.112	0	0.204	0.543
ARHGAP11A	NUF2	9606.ENSP00000355090	9606.ENSP00000271452	0	0	0	0	0.551	0	0	0.174	0.613
ARHGAP11A	CDCA5	9606.ENSP00000355090	9606.ENSP00000275517	0	0	0	0	0.357	0	0	0.281	0.518
ARHGAP11A	SKA1	9606.ENSP00000355090	9606.ENSP00000285116	0	0	0	0	0.405	0	0	0.106	0.445
ARHGAP11A	BUB1B	9606.ENSP00000355090	9606.ENSP00000287598	0	0	0	0	0.761	0	0	0.184	0.796
ARHGAP11A	CCNB2	9606.ENSP00000355090	9606.ENSP00000288207	0	0	0	0	0.474	0	0	0.104	0.509
ARHGAP11A	MAD2L1	9606.ENSP00000355090	9606.ENSP00000296509	0	0	0	0	0.339	0	0	0.217	0.461
ARHGAP11A	MELK	9606.ENSP00000355090	9606.ENSP00000298048	0	0	0	0	0.518	0.046	0	0.084	0.542
ARHGAP11A	PLK1	9606.ENSP00000355090	9606.ENSP00000300093	0	0	0	0	0.416	0.094	0	0.186	0.532
ARHGAP11A	TPX2	9606.ENSP00000355090	9606.ENSP00000300403	0	0	0	0	0.477	0	0	0.181	0.553
ARHGAP11A	BIRC5	9606.ENSP00000355090	9606.ENSP00000301633	0	0	0	0	0.572	0.061	0	0	0.581
ARHGAP11A	BUB1	9606.ENSP00000355090	9606.ENSP00000302530	0	0	0	0	0.712	0	0	0.222	0.766
ARHGAP11A	AURKB	9606.ENSP00000355090	9606.ENSP00000313950	0	0	0	0	0.434	0	0	0.166	0.507
ARHGAP11A	SKA3	9606.ENSP00000355090	9606.ENSP00000319417	0	0	0	0	0.465	0	0	0	0.465
ARHGAP11A	E2F7	9606.ENSP00000355090	9606.ENSP00000323246	0	0	0	0	0.335	0	0	0.138	0.402
ARHGAP11A	SPAG5	9606.ENSP00000355090	9606.ENSP00000323300	0	0	0	0	0.650	0.051	0	0.117	0.681
ARHGAP11A	KNTC1	9606.ENSP00000355090	9606.ENSP00000328236	0	0	0	0	0.489	0	0	0	0.489
ARHGAP11A	KNL1	9606.ENSP00000355090	9606.ENSP00000335463	0	0	0	0	0.470	0	0	0.203	0.560
ARHGAP11A	CENPA	9606.ENSP00000355090	9606.ENSP00000336868	0	0	0	0	0.521	0.065	0	0.177	0.599
ARHGAP11A	FOXM1	9606.ENSP00000355090	9606.ENSP00000342307	0	0	0	0	0.533	0	0	0.169	0.596
ARHGAP11A	UBE2C	9606.ENSP00000355090	9606.ENSP00000348838	0	0	0	0	0.503	0.048	0	0.066	0.520
ARHGAP11A	WDHD1	9606.ENSP00000355090	9606.ENSP00000353793	0	0	0	0	0.397	0	0	0.089	0.427
ARHGAP11A	IQGAP3	9606.ENSP00000355090	9606.ENSP00000354451	0	0	0	0	0.430	0	0	0.045	0.432
ARHGAP11A	RAD54L	9606.ENSP00000355090	9606.ENSP00000361043	0	0	0	0	0.283	0.053	0	0.190	0.403
ARHGAP11A	STIL	9606.ENSP00000355090	9606.ENSP00000360944	0	0	0	0	0.385	0	0	0.078	0.410
ARHGAP11A	CENPI	9606.ENSP00000355090	9606.ENSP00000362018	0	0	0	0	0.434	0	0	0	0.434
ARHGAP11A	FAM72D	9606.ENSP00000355090	9606.ENSP00000383682	0	0	0	0	0.318	0	0	0.223	0.448
ARHGAP11A	FAM72C	9606.ENSP00000355090	9606.ENSP00000463032	0	0	0	0	0.313	0	0	0.248	0.461
ARHGAP11A	HELLS	9606.ENSP00000355090	9606.ENSP00000377601	0	0	0	0	0.393	0.070	0	0.134	0.468
ARHGAP11A	CDCA3	9606.ENSP00000355090	9606.ENSP00000442068	0	0	0	0	0.407	0	0	0.145	0.471
ARHGAP11A	KIFC1	9606.ENSP00000355090	9606.ENSP00000393963	0	0	0	0	0.440	0	0	0.138	0.496
ARHGAP11A	NCAPG2	9606.ENSP00000355090	9606.ENSP00000387007	0	0	0	0	0.456	0.112	0	0	0.497
ARHGAP11A	EXO1	9606.ENSP00000355090	9606.ENSP00000355506	0	0	0	0	0.445	0	0	0.160	0.514
ARHGAP11A	PRC1	9606.ENSP00000355090	9606.ENSP00000377793	0	0	0	0	0.501	0	0	0.107	0.535
ARHGAP11A	FAM72B	9606.ENSP00000355090	9606.ENSP00000358397	0	0	0	0	0.322	0	0	0.356	0.545
ARHGAP11A	CDC20	9606.ENSP00000355090	9606.ENSP00000361540	0	0	0	0	0.538	0	0	0.108	0.570
ARHGAP11A	HJURP	9606.ENSP00000355090	9606.ENSP00000414109	0	0	0	0	0.598	0	0	0	0.598
ARHGAP11A	ECT2	9606.ENSP00000355090	9606.ENSP00000376457	0	0	0	0	0.531	0	0	0.207	0.613
ARHGAP11A	RACGAP1	9606.ENSP00000355090	9606.ENSP00000404190	0	0	0	0.554	0.520	0	0	0.235	0.617
ARHGAP11A	KIF18B	9606.ENSP00000355090	9606.ENSP00000465992	0	0	0	0	0.445	0.069	0	0.323	0.619
ARHGAP11A	NUSAP1	9606.ENSP00000355090	9606.ENSP00000499238	0	0	0	0	0.564	0	0	0.181	0.628
ARHGAP11A	KIF2C	9606.ENSP00000355090	9606.ENSP00000361298	0	0	0	0	0.617	0	0	0.072	0.630
ARHGAP11A	NEK2	9606.ENSP00000355090	9606.ENSP00000355966	0	0	0	0	0.634	0	0	0.093	0.654
ARHGAP11A	KIF4A	9606.ENSP00000355090	9606.ENSP00000363524	0	0	0	0	0.562	0	0	0.305	0.682
ARHGAP11A	CDCA8	9606.ENSP00000355090	9606.ENSP00000362146	0	0	0	0	0.673	0	0	0.125	0.702
ARHGAP11A	CCNA2	9606.ENSP00000355090	9606.ENSP00000481380	0	0	0	0	0.682	0	0	0.140	0.715
ARHGAP11A	CEP55	9606.ENSP00000355090	9606.ENSP00000360540	0	0	0	0	0.666	0	0	0.217	0.727
ARHGAP11A	CDK1	9606.ENSP00000355090	9606.ENSP00000378699	0	0	0	0	0.697	0.069	0	0.170	0.745
ARHGAP11A	KIF14	9606.ENSP00000355090	9606.ENSP00000356319	0	0	0	0	0.504	0.292	0	0.348	0.751
ARHGAP11A	TOP2A	9606.ENSP00000355090	9606.ENSP00000411532	0	0	0	0	0.720	0	0	0.170	0.758
ARHGAP11A	TTK	9606.ENSP00000355090	9606.ENSP00000358813	0	0	0	0	0.717	0	0	0.226	0.771
ARHGAP11A	ASPM	9606.ENSP00000355090	9606.ENSP00000356379	0	0	0	0	0.743	0.095	0	0.246	0.809
ARHGAP11A	CENPF	9606.ENSP00000355090	9606.ENSP00000355922	0	0	0	0	0.756	0	0	0.254	0.811
ARRB1	GNAQ	9606.ENSP00000409581	9606.ENSP00000286548	0	0	0	0	0.058	0.377	0	0.855	0.908
ARRB1	PPP2R2C	9606.ENSP00000409581	9606.ENSP00000372042	0	0	0	0	0.055	0.060	0.800	0.042	0.807
ARRB1	VAMP2	9606.ENSP00000409581	9606.ENSP00000418572	0	0	0	0	0.103	0	0.500	0.107	0.564
ASPM	TRIP13	9606.ENSP00000356379	9606.ENSP00000166345	0	0	0	0	0.553	0	0	0.418	0.729
ASPM	CDC6	9606.ENSP00000356379	9606.ENSP00000209728	0	0	0	0	0.520	0	0	0.247	0.623
ASPM	POLE2	9606.ENSP00000356379	9606.ENSP00000216367	0	0	0	0	0.391	0	0	0.203	0.494
ASPM	AURKA	9606.ENSP00000356379	9606.ENSP00000216911	0	0	0	0	0.705	0.314	0	0.685	0.930
ASPM	MYBL2	9606.ENSP00000356379	9606.ENSP00000217026	0	0	0	0	0.437	0	0	0.222	0.543
ASPM	ORC6	9606.ENSP00000356379	9606.ENSP00000219097	0	0	0	0	0.260	0	0	0.370	0.514
ASPM	OIP5	9606.ENSP00000356379	9606.ENSP00000220514	0	0	0	0	0.644	0	0	0.327	0.750
ASPM	RAD51AP1	9606.ENSP00000356379	9606.ENSP00000228843	0	0	0	0	0.549	0	0	0.305	0.673
ASPM	NCAPH	9606.ENSP00000356379	9606.ENSP00000240423	0	0	0	0	0.667	0.099	0	0.579	0.862
ASPM	MND1	9606.ENSP00000356379	9606.ENSP00000240488	0	0	0	0	0.783	0	0	0.085	0.792
ASPM	PIMREG	9606.ENSP00000356379	9606.ENSP00000250056	0	0	0	0	0.432	0	0	0.376	0.630
ASPM	NCAPG	9606.ENSP00000356379	9606.ENSP00000251496	0	0	0	0	0.910	0	0	0.702	0.972
ASPM	CCNB1	9606.ENSP00000356379	9606.ENSP00000256442	0	0	0	0	0.838	0	0	0.714	0.952
ASPM	TROAP	9606.ENSP00000356379	9606.ENSP00000257909	0	0	0	0	0.648	0	0	0.358	0.764
ASPM	ESPL1	9606.ENSP00000356379	9606.ENSP00000257934	0	0	0	0	0.759	0.087	0	0.401	0.857
ASPM	IGF2BP3	9606.ENSP00000356379	9606.ENSP00000258729	0	0	0	0	0.248	0	0	0.285	0.439
ASPM	KIF23	9606.ENSP00000356379	9606.ENSP00000260363	0	0	0	0	0.967	0.300	0	0.500	0.987
ASPM	KIF11	9606.ENSP00000356379	9606.ENSP00000260731	0	0	0	0	0.962	0.079	0	0.714	0.989
ASPM	NDC80	9606.ENSP00000356379	9606.ENSP00000261597	0	0	0	0	0.959	0.160	0	0.170	0.969
ASPM	MCM4	9606.ENSP00000356379	9606.ENSP00000262105	0	0	0	0	0.527	0	0	0.348	0.678
ASPM	GINS1	9606.ENSP00000356379	9606.ENSP00000262460	0	0	0	0	0.288	0	0	0.523	0.646
ASPM	POLQ	9606.ENSP00000356379	9606.ENSP00000264233	0	0	0	0	0.533	0	0	0	0.533
ASPM	DEPDC1B	9606.ENSP00000356379	9606.ENSP00000265036	0	0	0	0	0.527	0	0	0.292	0.651
ASPM	MCM2	9606.ENSP00000356379	9606.ENSP00000265056	0	0	0	0	0.510	0	0	0.100	0.540
ASPM	CENPE	9606.ENSP00000356379	9606.ENSP00000265148	0	0	0	0	0.954	0.078	0	0.589	0.981
ASPM	TICRR	9606.ENSP00000356379	9606.ENSP00000268138	0	0	0	0	0.551	0	0	0	0.551
ASPM	PLK4	9606.ENSP00000356379	9606.ENSP00000270861	0	0	0	0	0.651	0.099	0	0.452	0.812
ASPM	NUF2	9606.ENSP00000356379	9606.ENSP00000271452	0	0	0	0	0.944	0	0	0.665	0.980
ASPM	CDCA5	9606.ENSP00000356379	9606.ENSP00000275517	0	0	0	0	0.583	0	0	0.418	0.746
ASPM	SKA1	9606.ENSP00000356379	9606.ENSP00000285116	0	0	0	0	0.382	0	0	0.456	0.649
ASPM	ATAD2	9606.ENSP00000356379	9606.ENSP00000287394	0	0	0	0	0.469	0.090	0	0.201	0.581
ASPM	BUB1B	9606.ENSP00000356379	9606.ENSP00000287598	0	0	0	0	0.928	0.111	0	0.628	0.974
ASPM	CCNB2	9606.ENSP00000356379	9606.ENSP00000288207	0	0	0	0	0.840	0	0	0.709	0.951
ASPM	CIP2A	9606.ENSP00000356379	9606.ENSP00000295746	0	0	0	0	0.390	0.051	0	0.080	0.421
ASPM	MAD2L1	9606.ENSP00000356379	9606.ENSP00000296509	0	0	0	0	0.602	0.088	0	0.524	0.812
ASPM	MELK	9606.ENSP00000356379	9606.ENSP00000298048	0	0	0	0	0.818	0	0	0.715	0.946
ASPM	PLK1	9606.ENSP00000356379	9606.ENSP00000300093	0	0	0	0	0.455	0.091	0	0.451	0.704
ASPM	TPX2	9606.ENSP00000356379	9606.ENSP00000300403	0	0	0	0	0.827	0	0	0.717	0.949
ASPM	CDT1	9606.ENSP00000356379	9606.ENSP00000301019	0	0	0	0	0.524	0	0	0.148	0.578
ASPM	BIRC5	9606.ENSP00000356379	9606.ENSP00000301633	0	0	0	0	0.748	0	0	0.540	0.879
ASPM	BUB1	9606.ENSP00000356379	9606.ENSP00000302530	0	0	0	0	0.907	0.111	0	0.741	0.976
ASPM	CKAP2L	9606.ENSP00000356379	9606.ENSP00000305204	0	0	0	0	0.724	0	0	0.595	0.883
ASPM	FEN1	9606.ENSP00000356379	9606.ENSP00000305480	0	0	0	0	0.303	0	0	0.218	0.432
ASPM	FANCI	9606.ENSP00000356379	9606.ENSP00000310842	0	0	0	0	0.555	0	0	0.201	0.629
ASPM	CKS1B	9606.ENSP00000356379	9606.ENSP00000311083	0	0	0	0	0.432	0	0	0.202	0.527
ASPM	ZWILCH	9606.ENSP00000356379	9606.ENSP00000311429	0	0	0	0	0.377	0	0	0.304	0.548
ASPM	AURKB	9606.ENSP00000356379	9606.ENSP00000313950	0	0	0	0	0.608	0	0	0.732	0.890
ASPM	SKA3	9606.ENSP00000356379	9606.ENSP00000319417	0	0	0	0	0.546	0	0	0.310	0.673
ASPM	EZH2	9606.ENSP00000356379	9606.ENSP00000320147	0	0	0	0	0.353	0	0	0.167	0.438
ASPM	CDC25C	9606.ENSP00000356379	9606.ENSP00000321656	0	0	0	0	0.524	0	0	0.225	0.615
ASPM	E2F7	9606.ENSP00000356379	9606.ENSP00000323246	0	0	0	0	0.492	0	0	0.479	0.724
ASPM	SPAG5	9606.ENSP00000356379	9606.ENSP00000323300	0	0	0	0	0.855	0.043	0	0.640	0.945
ASPM	KNTC1	9606.ENSP00000356379	9606.ENSP00000328236	0	0	0	0	0.885	0.088	0	0.395	0.931
ASPM	KNL1	9606.ENSP00000356379	9606.ENSP00000335463	0	0	0	0	0.524	0	0	0.507	0.755
ASPM	CENPA	9606.ENSP00000356379	9606.ENSP00000336868	0	0	0	0	0.800	0	0	0.352	0.865
ASPM	FOXM1	9606.ENSP00000356379	9606.ENSP00000342307	0	0	0	0	0.668	0	0	0.561	0.848
ASPM	UBE2C	9606.ENSP00000356379	9606.ENSP00000348838	0	0	0	0	0.835	0	0	0.673	0.943
ASPM	WDHD1	9606.ENSP00000356379	9606.ENSP00000353793	0	0	0	0	0.530	0	0	0.079	0.548
ASPM	IQGAP3	9606.ENSP00000356379	9606.ENSP00000354451	0	0	0	0.547	0.577	0	0	0.128	0.615
ASPM	EXO1	9606.ENSP00000356379	9606.ENSP00000355506	0	0	0	0	0.792	0	0	0.295	0.848
ASPM	CENPF	9606.ENSP00000356379	9606.ENSP00000355922	0	0	0	0	0.938	0	0	0.802	0.987
ASPM	NEK2	9606.ENSP00000356379	9606.ENSP00000355966	0	0	0	0	0.837	0	0	0.507	0.916
ASPM	KIF14	9606.ENSP00000356379	9606.ENSP00000356319	0	0	0	0	0.876	0.292	0	0.617	0.963
ASPM	MCM8	9606.ENSP00000356379	9606.ENSP00000368164	0	0	0	0	0.375	0	0	0.094	0.410
ASPM	CENPI	9606.ENSP00000356379	9606.ENSP00000362018	0	0	0	0	0.326	0	0	0.228	0.458
